"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"11876869","A brief concordance or table to the Bible of the last translation : serving for the more easy finding out of the most useful places therein contained","John Downame","English","book_printbook","","London : Printed for R. Ware, 1745.","","","2017-05-13 20:37"
"13927533","A scriptural account of the Millennium : being a selection from the prophecies concerning Christ's second coming, and personal glorious reign on earth a thousand years. To which are added a number of arguments to shew that this event has not yet taken place: also, some observations, calculated to stimulate man to an enquiry into the matter, and to make the necessary preparation for the all-important event","Benjamin Gorton","English","book_mic","","Troy : Printed by Moffitt & Lyon, 1802.","","","2017-05-13 20:36"
"84264043","Conjectures on prophecies : written in the fore part of the year 1799","John Bacon","English","book_mic","","Boston : Printed by D. Carlisle, 1805.","","","2017-05-13 20:36"
"877533544","Dialogorum sacrorum libri IV. et ad linguam rectè formandam, & ad vitam sanctè instituendam, Christianæ juventuti apprimè utiles.","Sébastien Castellion","Latin","book_printbook","","Londini : Excudebat E. Janeway, 1722.","","","2017-05-13 20:35"
"551913708","Jacobi Vsserii Armachani De Græcâ Septuaginta, interpretum versione syntagma : cum libri Estheræ editione origenicâ, & vetere Graecâ alterâ, ex Arundelliana Bibliotheca nunc primùm in lucem productâ. Accesserunt, ob argumenti cognationem, de Cainane, in Vulgatâ LXX. edition superaddito, ex ejusdem chronologiâ sacrâ nondum editâ, dissertatio","James Ussher; Origen.; Louis Cappel; William Eyre","Latin","book_printbook","","Londini : Prostant vænales apud Johannem Crook : Sub insigni navis in Coemeterio Paulino, anno Dom. 1655.","","","2017-05-13 20:34"
"972874993","Humfredi Hodii, linguæ Græcæ Professoris Regii et Archidiaconi Oxon., De Bibliorum textibus originalibus, versionibus Græcis, & Latina Vulgata : libri IV. ... : præmittitur Aristeæ Historia Græce & Latine.","Humphrey Hody","Latin","book_printbook","","Oxonii : E Theatro Sheldoniano, 1705.","","","2017-05-13 20:33"
"85881307","A complete concordance to the Holy Scriptures of the Old and New Testament : in two parts. ... To which is added a concordance to the ... Apocrypha. ... By Alexander Cruden, M.A.","Alexander Cruden","English","book_digital","","London : Printed for D. Midwinter, A. Bettesworth and C. Hitch, J. and J. Pemberton, R. Ware, C. Rivington [and 11 others in London], 1738.","","","2017-05-13 20:32"
"85007826","The Holy Bible, containing the Old and New Testaments : translated out of the original tongues: and with the former translations diligently compared and revised, by His Majesty's special command.","British and Foreign Bible Society.;","English","book_printbook","","London : George Eyre and Andrew Strahan, 1816.","","","2017-05-11 18:23"
"7386055","Hē kainē diathēkē = Novum Testamentum","John Mill;","Greek, Ancient [to 1453]","book_printbook","","Londini : Excudebat Johannes Nichols, impensis Societatis Stationarum, 1794.","","Thomas Jefferson had two copies","2017-05-11 18:12"
"166868532","The United States elevated to glory and honor. : a sermon, preached before His Excellency Jonathan Trumbull, Esq L.L.D, governor and commander in chief, and the Honorable the General Assembly of the state of Connecticut, convened at Hartford, at the anniversary election, May 8th, 1783.","Ezra Stiles; Connecticut. General Assembly.","English","book_mic","","New-Haven : Printed by Thomas & Samuel Green., M, DCC, LXXXIII. [1783]","","","2017-05-11 18:08"
"659275572","The New Testament of our Lord and Saviour Jesus Christ","","English","book_printbook","","Philadelphia : Jacob Johnson & Co., 1804.","","Thomas Jefferson had two copies","2017-05-11 18:04"
"839826480","The Holy Bible, containing the Old and New Testaments : Newly translated out of the original tongues: and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.","Eighteenth Century Collection Online (electronic collection);","English","book_printbook","","Oxford : Printed by Thomas Baskett, printer to the University, MDCCLII. [1752]","","","2017-05-11 17:54"
"808046514","The book of common prayer : and administration of the sacraments, and other rites and ceremonies of the church, according to the use of the Church of England ; together with the Psalter or Psalms of David, pointed as they are to be sung or said in churches.","Thomas Jefferson; Peter Jefferson; Church of England.","English","book_printbook","","Oxford : Printed by Thomas Baskett, printer to the University, 1752.","","","2017-05-11 17:40"
"606703250","Flavii Josephi Antiquitatum Judaicarum libri quatuor priores et pars magna quinti Gr. Lat.","Flavius Josephus; Henry Aldrich; Edward Bernard;  Epiphanius, Scholasticus.;  Rufinus, of Aquileia","Latin","book_digital","","Oxoniæ : E Theatro Sheldoniano, 1700.","","","2017-05-11 17:31"
"225336423","Le Nouveau Testament de notre Seigneur Jésus-Christ","David Martin; David Durand;","French","book_printbook","","A Southampton : De l'Imprimerie de Baker et Fletcher ..., 1802.","","Thomas Jefferson had two copies.","2017-05-11 17:24"
"24428637","The New Testament of Our Lord and Saviour Jesus Christ,","","English","book_printbook","","Dublin, Printed by George Grierson, 1799.","","","2017-05-11 17:20"
"24428610","The Psalms of David in metre","","English","book_printbook","","Dublin: Printed by George Grierson, printer to the King's most excellent Majesty, 1793.","","","2017-05-11 17:18"
"745278109","The new Testament of our Lord and Saviour Jesus Christ, Newly Translated out of the Original Greek: And with the former Translations diligently Compared and Revised. By His Majesty's special Command. œ Appointed to be read in Churches.","","English","book_digital","","Dublin : Printed by George Grierson, Printer to the King's Most Excellent Majesty, 1791.","","","2017-05-11 17:17"
"843124108","Traduction d'anciens ouvrages Latins relatifs à l'agriculture et à la médecine vétérinaire : avec des notes","Charles François Saboureux de la Bonnetrie; Marcus Porcius Cato; P  Terentius Varro Atacinus; Lucius Junius Moderatus Columella; Rutilius Taurus Aemilianus Palladius; Flavius Vegetius Renatus; Jefferson Exhibit Collection (Library of Congress);","French","book_printbook","","À Paris : Chez P. Fr. Didot, le jeune ..., MDCCLXXI-MDCCLXXV [1771-1775]","","","2017-05-11 17:12"
"960067897","Historiae augustae scriptores VI : Aelius Spartianus, Vulc. Gallicanus, Julius Capitolinus, Trebell. Pollio, Aelius Lampridius, Flavius Vopiscus","Isaac Casaubon; Claude Saumaise; Janus Gruterus;","Latin","book_printbook","","Lugduni Batav. : Ex officina Hackiana, 1671.","","","2017-05-11 17:08"
"977479139","The Old and New Testament connected in the history of the Jews and neighbouring nations : from the declension of the Kingdoms of Israel and Judah to the time of Christ","Humphrey Prideaux","English","book_printbook","","London : Printed for R. Knaplock ... and J. Tonson ..., 1719-1720.","","","2017-05-11 17:06"
"39994029","An Biobla Naomhtha,","","Irish","book_printbook","","Lunnduin, R. Ebheringtham, 1690.","","","2017-05-11 17:06"
"10867404","Testamenti Veteris Biblia Sacra, sive, Libri canonici priscæ Judaeoum ecclesiæ a Deo traditi, latini recens ex hebræo facti, brevibusq;","Immanuel Tremellius; Franciscus Junius; Théodore de Bèze;","Latin","book_printbook","","Hanoviae, typis Wechelianis, apud Claudium Marnium & haeredes Joannis Aubrii, 1603.","","","2017-05-03 13:57"
"24438036","The sacred classics defended and illustrated. With a preface. Wherein is shewn the necessity and usefulness of a New version of the sacred books.","Anthony Blackwall","English","book_printbook","","London: Printed for Charles Rivington, 1737.","","","2017-05-03 13:54"
"20472821","Euangelium infantiæ : Vel, Liber apocryphus de infantia Servatoris.","Heinrich Sike;","Arabic","book_printbook","","Trajecti ad Rhenum : Apud Franciscum Halman, Guiljelmum vande Water, Bibl., M.D.C. XCVII [1697]","","","2017-05-03 13:52"
"40238598","An Biobla naomhtha : iona bhfuil leabhair na Seintiomna ar na ttarruing as an Eabhra go Goidheilg tré chúram agus dhúthrachd an Doctuir, Villiam Bedel, Roimhe so Easbug Chille móire a Néirinn: agus na Tiomna Nuaidhe, ar na ttabhairt go fírinneach as Greigis go Goidheilg, re Villiam O Domhnuill. Noch atá anois chum maitheas coitcheann na nGaóidheail Albanach, áthruighte go haireach as an litir Eíreandha chum na mion-litre shoi-léighidh Romhanta; maille re suim agus brígh na ccaibidleach ós a ccionn, a nTiodaluibh aithghearr; re claraibh fós, ag míniughadh na mfocal budh deacraigh ré na ttuigsin, le R.K.M.A.","William Bedell; Murtagh King; Dennis Sheridan; Andrew Sall; Narcissus Marsh; Huilliam O'Domhnuill; Robert Kirk;","Irish","book_printbook","","A Lunnduin : Ar na chur a gcló re R. Ebheringtham, ag na seachd réultaibh sa tsráid da ngoirthear, Ave-Maria, abhfochair Luid-gheata, an bhlía. daóis an Tigh, 1690.","","","2017-05-03 13:51"
"426920116","Johannis ab Ihre regiae cancellariae consiliarii ... scripta versionem Ulphilanam et linguam Moeso-Gothicam illustrantia : ab ipso doctissimo auctore emendata, novisque accessionibus aucta, iam vero ob praestantiam ac raritatem collecta, et una cum aliis scriptis similis argumenti","Johan Ihre; Anton Friedrich Büsching; Boston Library Consortium.","Latin","book_digital","","Berolini : Ex Officina Typographica Bossiana, 1773.","","","2017-05-03 13:49"
"745106084","A brief account of the life, character, and writings, of the Right Reverend Father in God, Richard Cumberland : D.D. late Lord Bishop of Peterborough. Which may serve as a preface to his lordship's book now in the press, entituled, Sanchoniatho's Phoenician history, &c. By S. Payne, A.M. Rector of Barnack, in Northamptonshire, many years his domestick chaplain.","Squier Payne","English","book_digital","","London : Printed by W.B for R. Wilkin at the King's Head in St. Paul's Church-Yard, MDCCXX. [1720]","","","2017-05-03 13:48"
"27351292","Johannis Davidis Michaelis ... in Roberti Lowth praelectiones de sacra poesi Hebraeorum, notae et epimetra. Ex Goettingensi editione praelectionum.","Robert Lowth; Johann David Michaelis","Latin","book_printbook","","Oxonii : E typographeo Clarendoniano, 1763.","","","2017-05-03 13:41"
"84770939","Psalmorum Davidis paraphrasis poetica. Auctore Arturo Jonstono Scoto. Cum indice vocabulorum. The psalms of David according to the translation in the English Bible. ...","Arthur Johnstoun;","English","book_mic","","London : Printed in the year, 1740.","","","2017-05-03 13:39"
"314807394","Psalmorum Davidicorum metaphrasis : graecis versibus contexta per Jacobum Duportum cantabrigiensem. Cui in oppositis paginis respondens accessit paraphrasis poetica latina, auctore Georgio Buchanano ...","George Buchanan; James Duport;","Multiple languages","book_printbook","","Londini : Prostant venales apud B. Barker ; R. Manby ; & P. Vaillant, 1742.","","","2017-05-03 13:37"
"257710442","Psalterion = Psalterium ; Juxta Exemplar Alexandrinum","Thomas Gale;","Greek, Ancient [to 1453]","book_printbook","","Oxoniae Theatrum Sheldonianum 1678","","","2017-05-03 13:35"
"9481052","The history of the American Indians : particularly those nations adjoining to the Mississippi, East and West Florida, Georgia, South and North Carolina, and Virginia","James Adair","English","book_mic","","London : E. and C. Dilly, 1775.","","","2017-05-03 13:34"
"753907250","Observations on the language of the Muhhekaneew Indians : in which the extent of that language in North-America is shewn; its genius is grammatically traced: some of its peculiarities, and some instances of analogy between that and the Hebrew are pointed out.","Jonathan Edwards; Connecticut Society of Arts and Sciences.","English","book_mic","","New-Haven : Printed by Josiah Meigs, [M,DCC,LXXXVIII. [1788].","","","2017-05-03 13:33"
"228750086","A brief concordance or table to the Bible of the last translation : ... by John Downame ...","John Downame","English","book_printbook","","London : Printed for R. Ware, 1745.","","","2017-05-03 13:31"
"12731717","The Holy Bible, containing the Old Testament and the New : newly translated out of the original tongues and with the former translations diligently compared and revised : by his Majesty's special comand : appointed to be read in churches.","","English","book_printbook","","Oxford : Printed by Thomas Baskett, printer to the University, 1752.","","","2017-05-03 13:30"
"929200124","The book of common prayer, and administration of the sacraments ... together with the Psalter","Church of England.","English","book_digital","","Oxford : Printed by Thomas Baskett, 1752.","","","2017-05-03 13:25"
